Range lower,Range upper,Name EN,Name FR,PDF URL,Unicode version,Year
10860,1087F,Palmyrene,Alphabet palmyre,https://web.archive.org/web/20190613202728/https://www.unicode.org/charts/PDF/U10860.pdf,12.1,2019
10880,108AF,Nabataean,Nabatéen,https://web.archive.org/web/20190613202720/https://www.unicode.org/charts/PDF/U10880.pdf,12.1,2019
108E0,108FF,Hatran,Hatrénien,https://web.archive.org/web/20190613202716/https://www.unicode.org/charts/PDF/U108E0.pdf,12.1,2019
10900,1091F,Phoenician,Phénicien,https://web.archive.org/web/20190613202731/https://www.unicode.org/charts/PDF/U10900.pdf,12.1,2019
10920,1093F,Lydian,Lydien,https://web.archive.org/web/20190613202549/https://www.unicode.org/charts/PDF/U10920.pdf,12.1,2019
10980,1099F,Meroitic Hieroglyphs,Hiéroglyphes méroïtiques,https://web.archive.org/web/20190613202642/https://www.unicode.org/charts/PDF/U10980.pdf,12.1,2019
109A0,109FF,Meroitic Cursive,Méroïtique cursif,https://web.archive.org/web/20190613202641/https://www.unicode.org/charts/PDF/U109A0.pdf,12.1,2019
10A00,10A5F,Kharoshthi,Kharochthî,https://web.archive.org/web/20190613202816/https://www.unicode.org/charts/PDF/U10A00.pdf,12.1,2019
10A60,10A7F,Old South Arabian,Sud-arabique,https://web.archive.org/web/20190613202723/https://www.unicode.org/charts/PDF/U10A60.pdf,12.1,2019
10A80,10A9F,Old North Arabian,Nord-arabique,https://web.archive.org/web/20190613202722/https://www.unicode.org/charts/PDF/U10A80.pdf,12.1,2019
10AC0,10AFF,Manichaean,Manichéen,https://web.archive.org/web/20190613202736/https://www.unicode.org/charts/PDF/U10AC0.pdf,12.1,2019
10B00,10B3F,Avestan,Avestique,https://web.archive.org/web/20190613202703/https://www.unicode.org/charts/PDF/U10B00.pdf,12.1,2019
10B40,10B5F,Inscriptional Parthian,Parthe des inscriptions,https://web.archive.org/web/20190613202729/https://www.unicode.org/charts/PDF/U10B40.pdf,12.1,2019
10B60,10B7F,Inscriptional Pahlavi,Pehlevi des inscriptions,https://web.archive.org/web/20190613202724/https://www.unicode.org/charts/PDF/U10B60.pdf,12.1,2019
10B80,10BAF,Psalter Pahlavi,Pehlevi des psautiers,https://web.archive.org/web/20190613202726/https://www.unicode.org/charts/PDF/U10B80.pdf,12.1,2019
10C00,10C4F,Old Turkic,Orkhon,https://web.archive.org/web/20190613202744/https://www.unicode.org/charts/PDF/U10C00.pdf,12.1,2019
10C80,10CFF,Old Hungarian,Ancien hongrois,https://web.archive.org/web/20190613202552/https://www.unicode.org/charts/PDF/U10C80.pdf,12.1,2019
10D00,10D3F,Hanifi Rohingya,Hanifi,https://web.archive.org/web/20190613202909/https://www.unicode.org/charts/PDF/U10D00.pdf,12.1,2019
10E60,10E7F,Rumi Numeral Symbols,Symboles numériques rumi,https://web.archive.org/web/20190613203226/https://www.unicode.org/charts/PDF/U10E60.pdf,12.1,2019
10E80,10EBF,Yezidi,Yézidi (trad),https://www.unicode.org/charts/PDF/U10E80.pdf,13.0,2020
10F00,10F2F,Old Sogdian,Vieux sogdien,https://web.archive.org/web/20190613202742/https://www.unicode.org/charts/PDF/U10F00.pdf,12.1,2019
10FB0,10FDF,Chorasmian,Chorasmien,https://www.unicode.org/charts/PDF/U10FB0.pdf,13.0,2020
10F30,10F6F,Sogdian,Sogdien,https://web.archive.org/web/20190613202747/https://www.unicode.org/charts/PDF/U10F30.pdf,12.1,2019
10FE0,10FFF,Elymaic,Élymaïque,https://web.archive.org/web/20190613202715/https://www.unicode.org/charts/PDF/U10FE0.pdf,12.1,2019
11000,1107F,Brahmi,Brahmî,https://web.archive.org/web/20190613202758/https://www.unicode.org/charts/PDF/U11000.pdf,12.1,2019
11080,110CF,Kaithi,Khaïthî,https://web.archive.org/web/20190613202812/https://www.unicode.org/charts/PDF/U11080.pdf,12.1,2019
110D0,110FF,Sora Sompeng,Sora Sompeng,https://web.archive.org/web/20190613202849/https://www.unicode.org/charts/PDF/U110D0.pdf,12.1,2019
11100,1114F,Chakma,Chakma,https://web.archive.org/web/20190613202800/https://www.unicode.org/charts/PDF/U11100.pdf,12.1,2019
11150,1117F,Mahajani,Mahâjanî,https://web.archive.org/web/20190613202823/https://www.unicode.org/charts/PDF/U11150.pdf,12.1,2019
11180,111DF,Sharada,Charada,https://web.archive.org/web/20190613202841/https://www.unicode.org/charts/PDF/U11180.pdf,12.1,2019
111E0,111FF,Sinhala Archaic Numbers,Nombres archaïques singhalais,https://web.archive.org/web/20190613202847/https://www.unicode.org/charts/PDF/U111E0.pdf,12.1,2019
11200,1124F,Khojki,Khojki,https://web.archive.org/web/20190613202817/https://www.unicode.org/charts/PDF/U11200.pdf,12.1,2019
11280,112AF,Multani,Multani,https://web.archive.org/web/20190613202832/https://www.unicode.org/charts/PDF/U11280.pdf,12.1,2019
112B0,112FF,Khudawadi,Khudabadi,https://web.archive.org/web/20190613202819/https://www.unicode.org/charts/PDF/U112B0.pdf,12.1,2019
11300,1137F,Grantha,Grantha,https://web.archive.org/web/20190613202806/https://www.unicode.org/charts/PDF/U11300.pdf,12.1,2019
11400,1147F,Newa,Newa,https://web.archive.org/web/20190613202835/https://www.unicode.org/charts/PDF/U11400.pdf,12.1,2019
11480,114DF,Tirhuta,Tirhuta,https://web.archive.org/web/20190613202900/https://www.unicode.org/charts/PDF/U11480.pdf,12.1,2019
11580,115FF,Siddham,Siddham,https://web.archive.org/web/20190613202843/https://www.unicode.org/charts/PDF/U11580.pdf,12.1,2019
11600,1165F,Modi,Modi,https://web.archive.org/web/20190613202829/https://www.unicode.org/charts/PDF/U11600.pdf,12.1,2019
11660,1167F,Mongolian Supplement,Supplément Mongol,https://web.archive.org/web/20190613202741/https://www.unicode.org/charts/PDF/U11660.pdf,12.1,2019
11680,116CF,Takri,Tâkrî,https://web.archive.org/web/20190613202852/https://www.unicode.org/charts/PDF/U11680.pdf,12.1,2019
11700,1173F,Ahom,Âhom,https://web.archive.org/web/20190613202752/https://www.unicode.org/charts/PDF/U11700.pdf,12.1,2019
11800,1184F,Dogra,Dogri,https://web.archive.org/web/20190613202805/https://www.unicode.org/charts/PDF/U11800.pdf,12.1,2019
118A0,118FF,Warang Citi,Warang Citi,https://web.archive.org/web/20190613202905/https://www.unicode.org/charts/PDF/U118A0.pdf,12.1,2019
11900,1195F,Dives Akuru,Dives Akuru (trad),https://www.unicode.org/charts/PDF/U11900.pdf,13.0,2020
119A0,119FF,Nandinagari,Nandinagari,https://web.archive.org/web/20190613202833/https://www.unicode.org/charts/PDF/U119A0.pdf,12.1,2019
11A00,11A4F,Zanabazar Square,Zanabazar Quadratique,https://web.archive.org/web/20190613202751/https://www.unicode.org/charts/PDF/U11A00.pdf,12.1,2019
11A50,11AAF,Soyombo,Soyombo,https://web.archive.org/web/20190613202748/https://www.unicode.org/charts/PDF/U11A50.pdf,12.1,2019
11AC0,11AFF,Pau Cin Hau,Paou chin haou,https://web.archive.org/web/20190613202927/https://www.unicode.org/charts/PDF/U11AC0.pdf,12.1,2019
11C00,11C6F,Bhaiksuki,Bhaiksuki,https://web.archive.org/web/20190613202756/https://www.unicode.org/charts/PDF/U11C00.pdf,12.1,2019
11C70,11CBF,Marchen,Marchen,https://web.archive.org/web/20190613202737/https://www.unicode.org/charts/PDF/U11C70.pdf,12.1,2019
11D00,11D5F,Masaram Gondi,Masaram Gondi,https://web.archive.org/web/20190613202825/https://www.unicode.org/charts/PDF/U11D00.pdf,12.1,2019
11D60,11DAF,Gunjala Gondi,Gunjala Gondi,https://web.archive.org/web/20190613202809/https://www.unicode.org/charts/PDF/U11D60.pdf,12.1,2019
11EE0,11EFF,Makasar,Makassar,https://web.archive.org/web/20190613202943/https://www.unicode.org/charts/PDF/U11EE0.pdf,12.1,2019
11FB0,11FBF,Lisu Supplement,Supplément Lissou,https://www.unicode.org/charts/PDF/U11FB0.pdf,13.0,2020
11FC0,11FFF,Tamil Supplement,Supplément Tamoul,https://web.archive.org/web/20190613202856/https://www.unicode.org/charts/PDF/U11FC0.pdf,12.1,2019
12000,123FF,Cuneiform,Cunéiforme,https://web.archive.org/web/20190613202704/https://www.unicode.org/charts/PDF/U12000.pdf,12.1,2019
12400,1247F,Cuneiform Numbers and Punctuation,Ponctuation et nombres cunéiformes,https://web.archive.org/web/20190613202707/https://www.unicode.org/charts/PDF/U12400.pdf,12.1,2019
12480,1254F,Early Dynastic Cuneiform,Cunéiforme des dynasties archaïques,https://web.archive.org/web/20190613202710/https://www.unicode.org/charts/PDF/U12480.pdf,12.1,2019
13000,1342F,Egyptian Hieroglyphs,Hiéroglyphes égyptiens,https://web.archive.org/web/20190613202627/https://www.unicode.org/charts/PDF/U13000.pdf,12.1,2019
13430,1343F,Egyptian Hieroglyph Format Controls,Contrôles de format des hiéroglyphes égyptiens,https://web.archive.org/web/20190613202630/https://www.unicode.org/charts/PDF/U13430.pdf,12.1,2019
14400,1467F,Anatolian Hieroglyphs,Hiéroglyphes anatoliens,https://web.archive.org/web/20190613202651/https://www.unicode.org/charts/PDF/U14400.pdf,12.1,2019
16800,16A3F,Bamum Supplement,Supplément bamoun,https://web.archive.org/web/20190613202619/https://www.unicode.org/charts/PDF/U16800.pdf,12.1,2019
16A40,16A6F,Mro,Mro,https://web.archive.org/web/20190613202830/https://www.unicode.org/charts/PDF/U16A40.pdf,12.1,2019
16AD0,16AFF,Bassa Vah,Bassa,https://web.archive.org/web/20190613202621/https://www.unicode.org/charts/PDF/U16AD0.pdf,12.1,2019
16B00,16B8F,Pahawh Hmong,Pahawh hmong,https://web.archive.org/web/20190613202925/https://www.unicode.org/charts/PDF/U16B00.pdf,12.1,2019
16E40,16E9F,Medefaidrin,Medefidrin,https://web.archive.org/web/20190613202639/https://www.unicode.org/charts/PDF/U16E40.pdf,12.1,2019
16F00,16F9F,Miao,Miao,https://web.archive.org/web/20190613203108/https://www.unicode.org/charts/PDF/U16F00.pdf,12.1,2019
16FE0,16FFF,Ideographic Symbols and Punctuation,Symboles et ponctuation idéographiques,https://web.archive.org/web/20190613203147/https://www.unicode.org/charts/PDF/U16FE0.pdf,12.1,2019
17000,187FF,Tangut,Tangoute,https://web.archive.org/web/20190613203112/https://www.unicode.org/charts/PDF/U17000.pdf,12.1,2019
18800,18AFF,Tangut Components,Composants tangoutes,https://web.archive.org/web/20190613203116/https://www.unicode.org/charts/PDF/U18800.pdf,12.1,2019
18B00,18CFF,Khitan Small Script,Petits caractères khitans (trad),https://www.unicode.org/charts/PDF/U18B00.pdf,13.0,2020
18D00,18D8F,Tangut Supplement,Supplément Tangoute,https://www.unicode.org/charts/PDF/U18D00.pdf,13.0,2020
1B000,1B0FF,Kana Supplement,Supplément kana,https://web.archive.org/web/20190613203058/https://www.unicode.org/charts/PDF/U1B000.pdf,12.1,2019
1B100,1B12F,Kana Extended-A,Kana étendu A,https://web.archive.org/web/20190613203055/https://www.unicode.org/charts/PDF/U1B100.pdf,12.1,2019
1B130,1B16F,Small Kana Extension,Extension petits kanas,https://web.archive.org/web/20190613203059/https://www.unicode.org/charts/PDF/U1B130.pdf,12.1,2019
1B170,1B2FF,Nushu,Nüshu,https://web.archive.org/web/20190613203110/https://www.unicode.org/charts/PDF/U1B170.pdf,12.1,2019
1BC00,1BC9F,Duployan,Sténographie Duployé,https://web.archive.org/web/20190613203137/https://www.unicode.org/charts/PDF/U1BC00.pdf,12.1,2019
1BCA0,1BCAF,Shorthand Format Controls,Contrôles de raccourcis,https://web.archive.org/web/20190613203139/https://www.unicode.org/charts/PDF/U1BCA0.pdf,12.1,2019
1D000,1D0FF,Byzantine Musical Symbols,Symboles musicaux byzantins,https://web.archive.org/web/20190613203136/https://www.unicode.org/charts/PDF/U1D000.pdf,12.1,2019
1D100,1D1FF,Musical Symbols,Symboles musicaux occidentaux,https://web.archive.org/web/20190613203133/https://www.unicode.org/charts/PDF/U1D100.pdf,12.1,2019
1D200,1D24F,Ancient Greek Musical Notation,Notation musicale grecque ancienne,https://web.archive.org/web/20190613203135/https://www.unicode.org/charts/PDF/U1D200.pdf,12.1,2019
1D2E0,1D2FF,Mayan Numerals,Numéraux mayas,https://web.archive.org/web/20190613203221/https://www.unicode.org/charts/PDF/U1D2E0.pdf,12.1,2019
1D300,1D35F,Tai Xuan Jing Symbols,Symboles du Classique du mystère suprême,https://web.archive.org/web/20190613203319/https://www.unicode.org/charts/PDF/U1D300.pdf,12.1,2019
1D360,1D37F,Counting Rod Numerals,Chiffres-bâtonnets chinois,https://web.archive.org/web/20190613203217/https://www.unicode.org/charts/PDF/U1D360.pdf,12.1,2019
1D400,1D7FF,Mathematical Alphanumeric Symbols,Symboles mathématiques alphanumériques,https://web.archive.org/web/20190613203158/https://www.unicode.org/charts/PDF/U1D400.pdf,12.1,2019
1D800,1DAAF,Sutton SignWriting,Écriture des signes de Sutton,https://web.archive.org/web/20190613203140/https://www.unicode.org/charts/PDF/U1D800.pdf,12.1,2019
1E000,1E02F,Glagolitic Supplement,Supplément glagolitique,https://web.archive.org/web/20190613202508/https://www.unicode.org/charts/PDF/U1E000.pdf,12.1,2019
1E100,1E14F,Nyiakeng Puachue Hmong,Nyiakeng Puachue Hmong,https://web.archive.org/web/20190613202923/https://www.unicode.org/charts/PDF/U1E100.pdf,12.1,2019
1E2C0,1E2FF,Wancho,Wancho,https://web.archive.org/web/20190613202904/https://www.unicode.org/charts/PDF/U1E2C0.pdf,12.1,2019
1E800,1E8DF,Mende Kikakui,Kikakui mendé,https://web.archive.org/web/20190613202640/https://www.unicode.org/charts/PDF/U1E800.pdf,12.1,2019
1E900,1E95F,Adlam,Adlam,https://web.archive.org/web/20190613202616/https://www.unicode.org/charts/PDF/U1E900.pdf,12.1,2019
1EC70,1ECBF,Indic Siyaq Numbers,Nombres Siyaq indiens,https://web.archive.org/web/20190613203220/https://www.unicode.org/charts/PDF/U1EC70.pdf,12.1,2019
1ED00,1ED4F,Ottoman Siyaq Numbers,Nombres Siyaq ottomans,https://web.archive.org/web/20190613203224/https://www.unicode.org/charts/PDF/U1ED00.pdf,12.1,2019
1EE00,1EEFF,Arabic Mathematical Alphabetic Symbols,Symboles de l’alphabet mathématique arabe,https://web.archive.org/web/20190613203201/https://www.unicode.org/charts/PDF/U1EE00.pdf,12.1,2019
1F000,1F02F,Mahjong Tiles,Pièces de mah-jong,https://web.archive.org/web/20190613203314/https://www.unicode.org/charts/PDF/U1F000.pdf,12.1,2019
1F030,1F09F,Domino Tiles,Dominos,https://web.archive.org/web/20190613203313/https://www.unicode.org/charts/PDF/U1F030.pdf,12.1,2019
1F0A0,1F0FF,Playing Cards,Cartes à jouer,https://web.archive.org/web/20190613203316/https://www.unicode.org/charts/PDF/U1F0A0.pdf,12.1,2019
1F100,1F1FF,Enclosed Alphanumeric Supplement,Alphanumériques entourés - supplément,https://web.archive.org/web/20190613203204/https://www.unicode.org/charts/PDF/U1F100.pdf,12.1,2019
1F200,1F2FF,Enclosed Ideographic Supplement,Idéogrammes entourés - supplément,https://web.archive.org/web/20190613203207/https://www.unicode.org/charts/PDF/U1F200.pdf,12.1,2019
1F300,1F5FF,Miscellaneous Symbols and Pictographs,Divers symboles et pictogrammes,https://web.archive.org/web/20190613203300/https://www.unicode.org/charts/PDF/U1F300.pdf,12.1,2019
1F600,1F64F,Emoticons,Émoticônes,https://web.archive.org/web/20190613203255/https://www.unicode.org/charts/PDF/U1F600.pdf,12.1,2019
1F650,1F67F,Ornamental Dingbats,Casseau ornemental,https://web.archive.org/web/20190613203254/https://www.unicode.org/charts/PDF/U1F650.pdf,12.1,2019
1F680,1F6FF,Transport and Map Symbols,Symboles du transport et cartographiques,https://web.archive.org/web/20190613203306/https://www.unicode.org/charts/PDF/U1F680.pdf,12.1,2019
1F700,1F77F,Alchemical Symbols,Symboles alchimiques,https://web.archive.org/web/20190613203307/https://www.unicode.org/charts/PDF/U1F700.pdf,12.1,2019
1F780,1F7FF,Geometric Shapes Extended,Formes géométriques étendu,https://web.archive.org/web/20190613203250/https://www.unicode.org/charts/PDF/U1F780.pdf,12.1,2019
1F800,1F8FF,Supplemental Arrows-C,Supplément de flèches C,https://web.archive.org/web/20190613203232/https://www.unicode.org/charts/PDF/U1F800.pdf,12.1,2019
1F900,1F9FF,Supplemental Symbols and Pictographs,Supplément de symboles et pictogrammes,https://web.archive.org/web/20190613203302/https://www.unicode.org/charts/PDF/U1F900.pdf,12.1,2019
1FA00,1FA6F,Chess Symbols,Symboles des échecs,https://web.archive.org/web/20190613203311/https://www.unicode.org/charts/PDF/U1FA00.pdf,12.1,2019
1FA70,1FAFF,Symbols and Pictographs Extended-A,Symboles et pictogrammes étendu A,https://web.archive.org/web/20190613203305/https://www.unicode.org/charts/PDF/U1FA70.pdf,12.1,2019
1FB00,1FBFF,Symbols for Legacy Computing,Symboles pour les anciens systèmes (trad),https://web.archive.org/web/20200312062023/https://www.unicode.org/charts/PDF/U1FB00.pdf,13.0,2020
20000,2A6DF,CJK Unified Ideographs Extension B,Idéogrammes unifiés CJC - supplément B,https://web.archive.org/web/20190613203009/https://www.unicode.org/charts/PDF/U20000.pdf,12.1,2019
2A700,2B73F,CJK Unified Ideographs Extension C,Idéogrammes unifiés CJC - supplément C,https://web.archive.org/web/20190613203018/https://www.unicode.org/charts/PDF/U2A700.pdf,12.1,2019
2B740,2B81F,CJK Unified Ideographs Extension D,Idéogrammes unifiés CJC - supplément D,https://web.archive.org/web/20190613203021/https://www.unicode.org/charts/PDF/U2B740.pdf,12.1,2019
2B820,2CEAF,CJK Unified Ideographs Extension E,Idéogrammes unifiés CJC - supplément E,https://web.archive.org/web/20190613203024/https://www.unicode.org/charts/PDF/U2B820.pdf,12.1,2019
2CEB0,2EBEF,CJK Unified Ideographs Extension F,Idéogrammes unifiés CJC - supplément F,https://web.archive.org/web/20190613203027/https://www.unicode.org/charts/PDF/U2CEB0.pdf,12.1,2019
2F800,2FA1F,CJK Compatibility Ideographs Supplement,Supplément aux idéogrammes de compatibilité CJC,https://web.archive.org/web/20190613203036/https://www.unicode.org/charts/PDF/U2F800.pdf,12.1,2019
30000,3134F,CJK Unified Ideographs Extension G,Idéogrammes unifiés CJC - supplément G,https://web.archive.org/web/20200324114853/https://www.unicode.org/charts/PDF/U30000.pdf,13.0,2020
E0000,E007F,Tags,Étiquettes,https://web.archive.org/web/20190613203322/https://www.unicode.org/charts/PDF/UE0000.pdf,12.1,2019
E0100,E01EF,Variation Selectors Supplement,Sélecteurs de variante - supplément,https://web.archive.org/web/20190613203326/https://www.unicode.org/charts/PDF/UE0100.pdf,12.1,2019
F0000,FFFFF,Supplementary Private Use Area-A,Zone à usage privé - extension A,https://web.archive.org/web/20190613203330/https://www.unicode.org/charts/PDF/UF0000.pdf,12.1,2019
100000,10FFFF,Supplementary Private Use Area-B,Zone à usage privé - extension B,https://web.archive.org/web/20190613203334/https://www.unicode.org/charts/PDF/U100000.pdf,12.1,2019
