Range lower,Range upper,Name EN,Name FR,PDF URL,Unicode version,Year
1720,173F,Hanunoo,Hanounóo,https://web.archive.org/web/20190613202940/https://www.unicode.org/charts/PDF/U1720.pdf,12.1,2019
1740,175F,Buhid,Bouhide,https://web.archive.org/web/20190613202938/https://www.unicode.org/charts/PDF/U1740.pdf,12.1,2019
1760,177F,Tagbanwa,Tagbanoua,https://web.archive.org/web/20190613202951/https://www.unicode.org/charts/PDF/U1760.pdf,12.1,2019
1780,17FF,Khmer,Khmer,https://web.archive.org/web/20190613202911/https://www.unicode.org/charts/PDF/U1780.pdf,12.1,2019
1800,18AF,Mongolian,Mongol,https://web.archive.org/web/20190613202739/https://www.unicode.org/charts/PDF/U1800.pdf,12.1,2019
18B0,18FF,Unified Canadian Aboriginal Syllabics Extended,Syllabaires autochtones canadiens étendus,https://web.archive.org/web/20190613203130/https://www.unicode.org/charts/PDF/U18B0.pdf,12.1,2019
1900,194F,Limbu,Limbou,https://web.archive.org/web/20190613202822/https://www.unicode.org/charts/PDF/U1900.pdf,12.1,2019
1950,197F,Tai Le,Taï-le,https://web.archive.org/web/20190613202928/https://www.unicode.org/charts/PDF/U1950.pdf,12.1,2019
1980,19DF,New Tai Lue,Nouveau taï-lue,https://web.archive.org/web/20190613202921/https://www.unicode.org/charts/PDF/U1980.pdf,12.1,2019
19E0,19FF,Khmer Symbols,Symboles khmers,https://web.archive.org/web/20190613202913/https://www.unicode.org/charts/PDF/U19E0.pdf,12.1,2019
1A00,1A1F,Buginese,Bougui,https://web.archive.org/web/20190613202936/https://www.unicode.org/charts/PDF/U1A00.pdf,12.1,2019
1A20,1AAF,Tai Tham,Taï tham,https://web.archive.org/web/20190613202929/https://www.unicode.org/charts/PDF/U1A20.pdf,12.1,2019
1AB0,1AFF,Combining Diacritical Marks Extended,Diacritiques étendus,https://web.archive.org/web/20190613202609/https://www.unicode.org/charts/PDF/U1AB0.pdf,12.1,2019
1B00,1B7F,Balinese,Balinais,https://web.archive.org/web/20190613202609/https://www.unicode.org/charts/PDF/U1AB0.pdf,12.1,2019
1B80,1BBF,Sundanese,Soundanais,https://web.archive.org/web/20190613202946/https://www.unicode.org/charts/PDF/U1B80.pdf,12.1,2019
1BC0,1BFF,Batak,Batak,https://web.archive.org/web/20190613202935/https://www.unicode.org/charts/PDF/U1BC0.pdf,12.1,2019
1C00,1C4F,Lepcha,Lepcha,https://web.archive.org/web/20190613202820/https://www.unicode.org/charts/PDF/U1C00.pdf,12.1,2019
1C50,1C7F,Ol Chiki,Ol chiki,https://web.archive.org/web/20190613202837/https://www.unicode.org/charts/PDF/U1C50.pdf,12.1,2019
1C80,1C8F,Cyrillic Extended-C,Cyrillique étendu C,https://web.archive.org/web/20190613202459/https://www.unicode.org/charts/PDF/U1C80.pdf,12.1,2019
1C90,1CBF,Georgian Extended,Géorgien étendu,https://web.archive.org/web/20190613202504/https://www.unicode.org/charts/PDF/U1C90.pdf,12.1,2019
1CC0,1CCF,Sundanese Supplement,Supplément soundanais,https://web.archive.org/web/20190613202947/https://www.unicode.org/charts/PDF/U1CC0.pdf,12.1,2019
1CD0,1CFF,Vedic Extensions,Extensions védiques,https://web.archive.org/web/20190613202902/https://www.unicode.org/charts/PDF/U1CD0.pdf,12.1,2019
1D00,1D7F,Phonetic Extensions,Supplément phonétique,https://web.archive.org/web/20190613202537/https://www.unicode.org/charts/PDF/U1D00.pdf,12.1,2019
1D80,1DBF,Phonetic Extensions Supplement,Supplément phonétique étendu,https://web.archive.org/web/20190613202539/https://www.unicode.org/charts/PDF/U1D80.pdf,12.1,2019
1DC0,1DFF,Combining Diacritical Marks Supplement,Supplément de diacritiques,https://web.archive.org/web/20190613202610/https://www.unicode.org/charts/PDF/U1DC0.pdf,12.1,2019
1E00,1EFF,Latin Extended Additional,Latin étendu additionnel,https://web.archive.org/web/20190613202530/https://www.unicode.org/charts/PDF/U1E00.pdf,12.1,2019
1F00,1FFF,Greek Extended,Grec étendu,https://web.archive.org/web/20190611060455/https://www.unicode.org/charts/PDF/U1F00.pdf,12.1,2019
2000,206F,General Punctuation,Ponctuation générale,https://web.archive.org/web/20190613203141/https://www.unicode.org/charts/PDF/U2000.pdf,12.1,2019
2070,209F,Superscripts and Subscripts,Exposants et indices,https://web.archive.org/web/20190613202605/https://www.unicode.org/charts/PDF/U2070.pdf,12.1,2019
20A0,20CF,Currency Symbols,Symboles monétaires,https://web.archive.org/web/20190613203309/https://www.unicode.org/charts/PDF/U20A0.pdf,12.1,2019
20D0,20FF,Combining Diacritical Marks for Symbols,Signes combinatoires pour symboles,https://web.archive.org/web/20190613202612/https://www.unicode.org/charts/PDF/U20D0.pdf,12.1,2019
2100,214F,Letterlike Symbols,Symboles de type lettre,https://web.archive.org/web/20190613203154/https://www.unicode.org/charts/PDF/U2100.pdf,12.1,2019
2150,218F,Number Forms,Formes numérales,https://web.archive.org/web/20190613203223/https://www.unicode.org/charts/PDF/U2150.pdf,12.1,2019
2190,21FF,Arrows,Flèches,https://web.archive.org/web/20190613203227/https://www.unicode.org/charts/PDF/U2190.pdf,12.1,2019
2200,22FF,Mathematical Operators,Symboles mathématiques,https://web.archive.org/web/20190613203235/https://www.unicode.org/charts/PDF/U2200.pdf,12.1,2019
2300,23FF,Miscellaneous Technical,Signes techniques divers,https://web.archive.org/web/20190613203210/https://www.unicode.org/charts/PDF/U2300.pdf,12.1,2019
2400,243F,Control Pictures,Pictogrammes de commande,https://web.archive.org/web/20190613203212/https://www.unicode.org/charts/PDF/U2400.pdf,12.1,2019
2440,245F,Optical Character Recognition,Reconnaissance optique de caractères,https://web.archive.org/web/20190613203214/https://www.unicode.org/charts/PDF/U2440.pdf,12.1,2019
2460,24FF,Enclosed Alphanumerics,Alphanumériques entourés,https://web.archive.org/web/20190613203202/https://www.unicode.org/charts/PDF/U2460.pdf,12.1,2019
2500,257F,Box Drawing,Filets,https://web.archive.org/web/20190613203246/https://www.unicode.org/charts/PDF/U2500.pdf,12.1,2019
2580,259F,Block Elements,Pavés,https://web.archive.org/web/20190613203248/https://www.unicode.org/charts/PDF/U2580.pdf,12.1,2019
25A0,25FF,Geometric Shapes,Formes géométriques,https://web.archive.org/web/20190613203245/https://www.unicode.org/charts/PDF/U25A0.pdf,12.1,2019
2600,26FF,Miscellaneous Symbols,Symboles divers,https://web.archive.org/web/20190613203257/https://www.unicode.org/charts/PDF/U2600.pdf,12.1,2019
2700,27BF,Dingbats,Casseau,https://web.archive.org/web/20190613203251/https://www.unicode.org/charts/PDF/U2700.pdf,12.1,2019
27C0,27EF,Miscellaneous Mathematical Symbols-A,Symboles mathématiques divers A,https://web.archive.org/web/20190613203240/https://www.unicode.org/charts/PDF/U27C0.pdf,12.1,2019
27F0,27FF,Supplemental Arrows-A,Supplément de flèches A,https://web.archive.org/web/20190613203228/https://www.unicode.org/charts/PDF/U27F0.pdf,12.1,2019
2800,28FF,Braille Patterns,Motifs Braille,https://web.archive.org/web/20190613203131/https://www.unicode.org/charts/PDF/U2800.pdf,12.1,2019
2900,297F,Supplemental Arrows-B,Supplément de flèches B,https://web.archive.org/web/20190613203230/https://www.unicode.org/charts/PDF/U2900.pdf,12.1,2019
2980,29FF,Miscellaneous Mathematical Symbols-B,Divers symboles mathématiques B,https://web.archive.org/web/20190613203242/https://www.unicode.org/charts/PDF/U2980.pdf,12.1,2019
2A00,2AFF,Supplemental Mathematical Operators,Supplément d’opérateurs mathématiques,https://web.archive.org/web/20190613203237/https://www.unicode.org/charts/PDF/U2A00.pdf,12.1,2019
2B00,2BFF,Miscellaneous Symbols and Arrows,Symboles et flèches divers,https://web.archive.org/web/20190613203233/https://www.unicode.org/charts/PDF/U2B00.pdf,12.1,2019
2C00,2C5F,Glagolitic,Glagolitic,https://web.archive.org/web/20190613202506/https://www.unicode.org/charts/PDF/U2C00.pdf,12.1,2019
2C60,2C7F,Latin Extended-C,Latin étendu C,https://web.archive.org/web/20190613202525/https://www.unicode.org/charts/PDF/U2C60.pdf,12.1,2019
2C80,2CFF,Coptic,Copte,https://web.archive.org/web/20190613202624/https://www.unicode.org/charts/PDF/U2C80.pdf,12.1,2019
2D00,2D2F,Georgian Supplement,Supplément géorgien,https://web.archive.org/web/20190613202505/https://www.unicode.org/charts/PDF/U2D00.pdf,12.1,2019
2D30,2D7F,Tifinagh,Tifinagh,https://web.archive.org/web/20190613202648/https://www.unicode.org/charts/PDF/U2D30.pdf,12.1,2019
2D80,2DDF,Ethiopic Extended,Éthiopien étendu,https://web.archive.org/web/20190613202636/https://www.unicode.org/charts/PDF/U2D80.pdf,12.1,2019
2DE0,2DFF,Cyrillic Extended-A,Cyrillique étendu A,https://web.archive.org/web/20190613202456/https://www.unicode.org/charts/PDF/U2DE0.pdf,12.1,2019
2E00,2E7F,Supplemental Punctuation,Supplément de ponctuation,https://web.archive.org/web/20190613203143/https://www.unicode.org/charts/PDF/U2E00.pdf,12.1,2019
2E80,2EFF,CJK Radicals Supplement,Supplément clés CJC,https://web.archive.org/web/20190613203040/https://www.unicode.org/charts/PDF/U2E80.pdf,12.1,2019
2F00,2FDF,Kangxi Radicals,Clés chinoises du Kangxi,https://web.archive.org/web/20190613203038/https://www.unicode.org/charts/PDF/U2F00.pdf,12.1,2019
2FF0,2FFF,Ideographic Description Characters,Caractères de description sinographique,https://web.archive.org/web/20190613203044/https://www.unicode.org/charts/PDF/U2FF0.pdf,12.1,2019
3000,303F,CJK Symbols and Punctuation,Symboles et ponctuation CJC,https://web.archive.org/web/20190613203146/https://www.unicode.org/charts/PDF/U3000.pdf,12.1,2019
3040,309F,Hiragana,Hiragana,https://web.archive.org/web/20190613203054/https://www.unicode.org/charts/PDF/U3040.pdf,12.1,2019
30A0,30FF,Katakana,Katakana,https://web.archive.org/web/20190613203103/https://www.unicode.org/charts/PDF/U30A0.pdf,12.1,2019
3100,312F,Bopomofo,Bopomofo,https://web.archive.org/web/20190613202952/https://www.unicode.org/charts/PDF/U3100.pdf,12.1,2019
3130,318F,Hangul Compatibility Jamo,Jamos de compatibilité hangûls,https://web.archive.org/web/20190613203050/https://www.unicode.org/charts/PDF/U3130.pdf,12.1,2019
3190,319F,Kanbun,Kanbun,https://web.archive.org/web/20190613203101/https://www.unicode.org/charts/PDF/U3190.pdf,12.1,2019
31A0,31BF,Bopomofo Extended,Bopomofo étendu,https://web.archive.org/web/20190613202954/https://www.unicode.org/charts/PDF/U31A0.pdf,12.1,2019
31C0,31EF,CJK Strokes,Traits CJC,https://web.archive.org/web/20190613203042/https://www.unicode.org/charts/PDF/U31C0.pdf,12.1,2019
31F0,31FF,Katakana Phonetic Extensions,Extensions phonétiques Katakana,https://web.archive.org/web/20190613203105/https://www.unicode.org/charts/PDF/U31F0.pdf,12.1,2019
3200,32FF,Enclosed CJK Letters and Months,Lettres et mois CJC entourés,https://web.archive.org/web/20190613203205/https://www.unicode.org/charts/PDF/U3200.pdf,12.1,2019
3300,33FF,CJK Compatibility,Caractères de compatibilité CJC,https://web.archive.org/web/20190613203209/https://www.unicode.org/charts/PDF/U3300.pdf,12.1,2019
3400,4DBF,CJK Unified Ideographs Extension A,Idéogrammes unifiés CJC supplément A,https://web.archive.org/web/20190613203004/https://www.unicode.org/charts/PDF/U3400.pdf,12.1,2019
4DC0,4DFF,Yijing Hexagram Symbols,Hexagrammes du Yi-king,https://web.archive.org/web/20190613203318/https://www.unicode.org/charts/PDF/U4DC0.pdf,12.1,2019
4E00,9FFF,CJK Unified Ideographs,Idéogrammes unifiés CJC,https://web.archive.org/web/20190613202956/https://www.unicode.org/charts/PDF/U4E00.pdf,12.1,2019
A000,A48F,Yi Syllables,Syllabaire yi des Monts frais,https://web.archive.org/web/20190613203118/https://www.unicode.org/charts/PDF/UA000.pdf,12.1,2019
A490,A4CF,Yi Radicals,Clés yi,https://web.archive.org/web/20190613203121/https://www.unicode.org/charts/PDF/UA490.pdf,12.1,2019
