char,name
ᣓ,Syllabe canadienne rwa
ᣔ,Syllabe canadienne ojibwé p
ᣕ,Syllabe canadienne ojibwé t
ᣖ,Syllabe canadienne ojibwé k
ᣗ,Syllabe canadienne ojibwé c
ᣘ,Syllabe canadienne ojibwé m
ᣙ,Syllabe canadienne ojibwé n
ᣚ,Syllabe canadienne ojibwé s
ᣛ,Syllabe canadienne ojibwé sh
ᣜ,Syllabe canadienne de l’est w
ᣝ,Syllabe canadienne de l’ouest w
ᣞ,Syllabe canadienne finale petit rond
ᣟ,Syllabe canadienne finale point élevé
ᣠ,Syllabe canadienne cri-r rwe
ᣡ,Syllabe canadienne cri des plaines loo
ᣢ,Syllabe canadienne cri des plaines laa
ᣣ,Syllabe canadienne thwe
ᣤ,Syllabe canadienne thwa
ᣥ,Syllabe canadienne tthwe
ᣦ,Syllabe canadienne tthoo
ᣧ,Syllabe canadienne tthaa
ᣨ,Syllabe canadienne tlhwe
ᣩ,Syllabe canadienne tlhoo
ᣪ,Syllabe canadienne sayisi shwe
ᣫ,Syllabe canadienne sayisi shoo
ᣬ,Syllabe canadienne sayisi hoo
ᣭ,Syllabe canadienne porteur gwu
ᣮ,Syllabe canadienne porteur dene gee
ᣯ,Syllabe canadienne porteur gaa
ᣰ,Syllabe canadienne porteur gwa
ᣱ,Syllabe canadienne sayisi juu
ᣲ,Syllabe canadienne porteur jwa
ᣳ,Syllabe canadienne déné castor l
ᣴ,Syllabe canadienne déné castor r
ᣵ,Syllabe canadienne porteur s dental
