char,name
ᒙ,Syllabe canadienne tchouo cri des plaines
ᒚ,Syllabe canadienne tchouô
ᒛ,Syllabe canadienne tchouô cri des plaines
ᒜ,Syllabe canadienne tchoua
ᒝ,Syllabe canadienne tchoua cri des plaines
ᒞ,Syllabe canadienne tchouâ
ᒟ,Syllabe canadienne tchouâ cri des plaines
ᒠ,Syllabe canadienne tchouâ naskapi
ᒡ,Syllabe canadienne tch
ᒢ,Syllabe canadienne th sayissi
ᒣ,Syllabe canadienne mé
ᒤ,Syllabe canadienne mâï
ᒥ,Syllabe canadienne mi
ᒦ,Syllabe canadienne mî
ᒧ,Syllabe canadienne mo
ᒨ,Syllabe canadienne mô
ᒩ,Syllabe canadienne mô cri-y
ᒪ,Syllabe canadienne ma
ᒫ,Syllabe canadienne mâ
ᒬ,Syllabe canadienne moué
ᒭ,Syllabe canadienne moué cri des plaines
ᒮ,Syllabe canadienne moui
ᒯ,Syllabe canadienne moui cri des plaines
ᒰ,Syllabe canadienne mouî
ᒱ,Syllabe canadienne mouî cri des plaines
ᒲ,Syllabe canadienne mouo
ᒳ,Syllabe canadienne mouo cri des plaines
ᒴ,Syllabe canadienne mouô
ᒵ,Syllabe canadienne mouô cri des plaines
ᒶ,Syllabe canadienne moua
ᒷ,Syllabe canadienne moua cri des plaines
ᒸ,Syllabe canadienne mouâ
ᒹ,Syllabe canadienne mouâ cri des plaines
ᒺ,Syllabe canadienne mouâ naskapi
ᒻ,Syllabe canadienne m
ᒼ,Syllabe canadienne m cri des plaines
ᒽ,Syllabe canadienne mh
ᒾ,Syllabe canadienne m athabascan
ᒿ,Syllabe canadienne m sayissi
ᓀ,Syllabe canadienne né
ᓁ,Syllabe canadienne nâï
ᓂ,Syllabe canadienne ni
ᓃ,Syllabe canadienne nî
ᓄ,Syllabe canadienne no
ᓅ,Syllabe canadienne nô
ᓆ,Syllabe canadienne nô cri-y
ᓇ,Syllabe canadienne na
ᓈ,Syllabe canadienne nâ
ᓉ,Syllabe canadienne noué
ᓊ,Syllabe canadienne noué cri des plaines
ᓋ,Syllabe canadienne noua
ᓌ,Syllabe canadienne noua cri des plaines
ᓍ,Syllabe canadienne nouâ
ᓎ,Syllabe canadienne nouâ cri des plaines
ᓏ,Syllabe canadienne nouâ naskapi
ᓐ,Syllabe canadienne n
ᓑ,Syllabe canadienne ng porteur
ᓒ,Syllabe canadienne nh
ᓓ,Syllabe canadienne lé
ᓔ,Syllabe canadienne lâï
ᓕ,Syllabe canadienne li
ᓖ,Syllabe canadienne lî
ᓗ,Syllabe canadienne lo
ᓘ,Syllabe canadienne lô
ᓙ,Syllabe canadienne lô cri-y
ᓚ,Syllabe canadienne la
ᓛ,Syllabe canadienne lâ
ᓜ,Syllabe canadienne loué
ᓝ,Syllabe canadienne loué cri des plaines
ᓞ,Syllabe canadienne loui
ᓟ,Syllabe canadienne loui cri des plaines
ᓠ,Syllabe canadienne louî
ᓡ,Syllabe canadienne louî cri des plaines
ᓢ,Syllabe canadienne louo
ᓣ,Syllabe canadienne louo cri des plaines
ᓤ,Syllabe canadienne louô
ᓥ,Syllabe canadienne louô cri des plaines
ᓦ,Syllabe canadienne loua
ᓧ,Syllabe canadienne loua cri des plaines
ᓨ,Syllabe canadienne louâ
ᓩ,Syllabe canadienne louâ cri des plaines
ᓪ,Syllabe canadienne l
ᓫ,Syllabe canadienne l cri des plaines
ᓬ,Syllabe canadienne l médial
ᓭ,Syllabe canadienne sé
ᓮ,Syllabe canadienne sâï
ᓯ,Syllabe canadienne si
ᓰ,Syllabe canadienne sî
ᓱ,Syllabe canadienne so
ᓲ,Syllabe canadienne sô
ᓳ,Syllabe canadienne sô cri-y
ᓴ,Syllabe canadienne sa
ᓵ,Syllabe canadienne sâ
ᓶ,Syllabe canadienne soué
ᓷ,Syllabe canadienne soué cri des plaines
ᓸ,Syllabe canadienne soui
ᓹ,Syllabe canadienne soui cri des plaines
ᓺ,Syllabe canadienne souî
ᓻ,Syllabe canadienne souî cri des plaines
ᓼ,Syllabe canadienne souo
ᓽ,Syllabe canadienne souo cri des plaines
ᓾ,Syllabe canadienne souô
ᓿ,Syllabe canadienne souô cri des plaines
ᔀ,Syllabe canadienne soua
ᔁ,Syllabe canadienne soua cri des plaines
ᔂ,Syllabe canadienne souâ
ᔃ,Syllabe canadienne souâ cri des plaines
ᔄ,Syllabe canadienne souâ naskapi
ᔅ,Syllabe canadienne s
ᔆ,Syllabe canadienne s athabascan
ᔇ,Syllabe canadienne sou
ᔈ,Syllabe canadienne s pied-noir
ᔉ,Syllabe canadienne sk cri de moose
ᔊ,Syllabe canadienne skou naskapi
ᔋ,Syllabe canadienne s-ou naskapi
ᔌ,Syllabe canadienne spoua naskapi
