symbol,trans,type (v : voyelle ; c : consonne (cg : Grantha) ; s : syllabe ; sm : symbole ; d : diacritique),associated form
ஷ,ṣa,sg,
ஷா,ṣā,sg,
ஷி,ṣi,sg,
ஷீ,ṣī,sg,
ஷு,ṣu,sg,
ஷூ,ṣū,sg,
ஷெ,ṣe,sg,
ஷே,ṣē,sg,
ஷை,ṣai,sg,
ஷொ,ṣo,sg,
ஷோ,ṣō,sg,
ஷௌ,ṣau,sg,
ஸ்,s,cg,
ஸ,sa,sg,
ஸா,sā,sg,
ஸி,si,sg,
ஸீ,sī,sg,
ஸு,su,sg,
ஸூ,sū,sg,
ஸெ,se,sg,
ஸே,sē,sg,
ஸை,sai,sg,
ஸொ,so,sg,
ஸோ,sō,sg,
ஸௌ,sau,sg,
ஹ்,h,cg,
ஹ,ha,sg,
ஹா,hā,sg,
ஹி,hi,sg,
ஹீ,hī,sg,
ஹு,hu,sg,
ஹூ,hū,sg,
ஹெ,he,sg,
ஹே,hē,sg,
ஹை,hai,sg,
ஹொ,ho,sg,
ஹோ,hō,sg,
ஹௌ,hau,sg,
க்ஷ்,kṣ,cg,
க்ஷ,kṣa,sg,
க்ஷா,kṣā,sg,
க்ஷி,kṣi,sg,
க்ஷீ,kṣī,sg,
க்ஷு,kṣu,sg,
க்ஷூ,kṣū,sg,
க்ஷெ,kṣe,sg,
க்ஷே,kṣē,sg,
க்ஷை,kṣai,sg,
க்ஷொ,kṣo,sg,
க்ஷோ,kṣō,sg,
க்ஷௌ,kṣau,sg,
ஃ,ak;visarga,sm,
